anchors,positives
How can the thrust generated by a spacecraft be calculated based on the mass flow rate and exit velocity of exhaust gas?,"Since a given expansion ratio results in the optimum expansion only at a specific altitude, then the design expansion ratio  of the nozzle must be selected in such a way as to give the best average performance during powered flight. With reference to the following figure, due to the courtesy of NASA [4], the thrust imparted to the spacecraft by the gas flow can be expressed as follows F=mvy, where m is the mass flow rate of the exhaust gas, and v, is its velocity at the exit plane of the nozzle. "
What is the relationship between thrust and gas exit velocity when mass flow rate remains constant?,"Therefore, for a constant mass flow rate m or weight flow rate W = gom of exhaust gas, the thrust F is proportional to the velocity v,. of the gas at the exit plane. P, — an or a 6 po a a 2 GETET ay Pa =H : F—— - A —> va Z 2 Cope —« Py a a J Ay A spacecraft is subject not only to the thrust due to its engine, but also to the pressure, po, due to the environment around it. At high altitudes, po can be assumed to be equal to zero. "
What is the relationship between net force acting on gas and momentum flux in a thrust chamber according to dynamics principles?,"In these conditions, the net force acting on the gas contained in the thrust chamber (comprising the combustion chamber and the nozzle) is the sum of the reactions coming from the walls and of the reaction of the absolute pressure of gas at the exit plane. These two reaction forces are opposed, as shown in the preceding figure. Therefore, according to the second principle of dynamics, the net force acting on the gas must be equal to the momentum flux out of the thrust chamber, which is 0 J peta — A, Pe = mve Ate where A,, and pj are respectively the area and the pressure of the thrust chamber, A,, Ve, and p, are respectively the area, the gas velocity, and the static absolute pressure of the gas at the exit plane of the nozzle, and mi is the steady mass flow rate of the gas. "
What does the integral on the left-hand side of the equation represent regarding the forces acting on the thrust chamber?,"The integral, that is, the first term on the left-hand side of the preceding equation,  represent the integral of the pressure forces (resultant) acting on the thrust chamber (combustion chamber and nozzle) and projected onto a plane normal to the axis of symmetry of the thrust chamber, as shown in the preceding figure. This integral is just the force, F, which acts on the thrust chamber (and, therefore, on the spacecraft). Consequently, the preceding equation may also be written as follows. "
"Under what conditions is the specified equality applicable regarding injection flow velocity, flow constancy, and chemical equilibrium of combustion products?",This equality holds under the following hypotheses:e the injection flow velocity of the propellants is negligible;¢ the flow is constant and does not change with time during the burn;¢ the products of combustion are in chemical equilibrium after the burn;
What is the flow characteristic of gas molecules as they exit a nozzle in terms of their movement relative to the nozzle's axis?,"e the flow of gas through the exit plane of the nozzle is one-dimensional, that is, all the molecules of the ejected gas move on straight lines which are parallel to the axis of symmetry of the nozzle;"
What characteristics define a flow where density changes significantly and the process is both adiabatic and frictionless?,"e the flow is compressible, that is, the gas density is subject to significant changes;e the flow is isentropic, that is, frictionless and adiabatic (without heat loss), and therefore depends only on the cross-sectional areas of the nozzle; and"
"What equation relates pressure, density, and temperature for a perfect gas, incorporating the gas constant and molar mass?","e the gas flowing in the nozzle is a perfect gas, so that the well-known equation of state p = pRT involving pressure p, density p, and temperature T can be used, where R is the constant of the specific gas (the universal gas constant R* = 8314.460 N m kmol™! K™! divided by the average molar mass M (kg/kmol) of the exhaust gas; for example, if the exhaust gas were water, H2O, then R = 8314.460/18 = 461.9 N mkg™! K~!).. "
"What are the two types of thrust identified in the thrust equation, and how do they relate to gas pressure and kinetic energy?","In the thrust equation written above, the quantity 7i is called the momentum thrust, and the quantity A,p, is called the pressure thrust. The latter term indicates that some (but not all) of the total forces due to the pressure p,- in the thrust chamber contribute to the kinetic energy possessed by the exhaust gases flowing in the nozzle. In other words, a part of the gas pressure generated by the release of chemical energy is used to increase the gas momentum, whereas another part is not. The greater the part of gas pressure used for this purpose, the greater the efficiency of the nozzle.. "
What effect does ambient pressure greater than zero have on the pressure thrust at low altitudes during rocket operation?,"Let us assume now that the rocket is fired at an ambient pressure po greater than zero, that is, at low-altitudes. In these conditions, the pressure forces due to the environment and acting on the outside of the thrust chamber walls have no effect on the gas inside. However, such pressure forces subtract a part (A-po) from the total pressure thrust (A,p,). Since the exhaust gas flows at supersonic velocity through the exit plane of area A,, then the ambient pressure po cannot gain access to it. "
How does ambient pressure influence the overall thrust produced by a propulsion system?,"Therefore, the ambient pressure generates a net unbalanced force onto the projected thrust chamber area, in the direction opposed to the thrust, of magnitude A.po. This fact is taken into account by re-writing the equation of thrust as follows. "
What condition must be met for the effective exhaust velocity to equal the exhaust gas velocity at the nozzle's exit plane?,"F = myve + Ac(Pe — Po)  which is just the equation given in [1]. The same equation may also be written as follows F = my. + A.(Pe — Po) = me where c=v+t Ae(Pe = Po) m is called the effective exhaust velocity, whose value is the same as that of the exhaust gas velocity v, at the exit plane of the nozzle only when the gas pressure p, at the same plane is equal to the ambient pressure po. As has been shown above, the presence of the second addend on the right-hand side of the preceding equation indicates that the optimum value of v, has not been reached.. "
"Calculate the exit gas velocity for a rocket engine with given thrust, mass flow rate, and exit area. What parameters influence the effective exhaust velocities at sea level and in space?","As an application of these concepts to a practical case, taken from [4], it is required to compute the exhaust gas velocity v, at the exit plane of the nozzle, the thrust in space, and the effective exhaust velocities at sea level (c) and in space (cs), for a rocket engine having a thrust F = 4.448 x 10° N at sea level, a mass flow rate mh = 167.5 kg/s due to propellant consumption, an area A, = 0.4905 m? at the exit plane of the nozzle, and an absolute pressure p. = 7.377 x 104 N/m? at the same plane. The atmospheric pressure po at sea level has the standard value 101325 ~ 1.013 x 10° N/m?.. "
How is the thrust derived when considering the difference between two pressure values in a specific calculation?,"In order to compute the value of v., we use the equation of thrust written above solved for v,, as followsF—A.(pe— po) 4.448 x 10° — 0.4905 x (0.7377 — 1.013) x 10°"
What determines whether a rocket engine nozzle is appropriately sized for conditions at sea level?,"Since the pressure p, of the exhaust gas at the exit plane of the nozzle is smaller than the atmospheric pressure po at sea level, then the nozzle of the rocket engine considered in the present example is too long for sea level conditions."
At what point during the rocket's ascent do the atmospheric pressure and exhaust gas pressure at the nozzle exit become equal?,"During the ascent of the rocket, the value of the atmospheric pressure decreases continuously. When the rocket reaches a certain altitude h* above the sea level, the atmospheric pressure at that altitude and the exhaust gas pressure p, at the exit plane of the nozzle have the same value (in the present case, this value is 7.377 x 10+ N/m?), and therefore the value of the component A,(p. — po) of the thrust becomes equal to zero. "
What is the atmospheric pressure threshold at altitude h where it drops below 7.377 x 10^4 N/m²?,"This event represents an ideal expansion of the gas flow. At an altitude h greater than h*, the value of the atmospheric pressure pp becomes less than 7.377 x 104 N/m?, and is equal to zero in space. When this happens, the value of the term A, Po, Which appears on the right-hand side of the equation of thrust, is also equal to zero. The two equations which express the thrust F at sea level and the thrust F in space are respectively  F = ve + Ae(De — Po) Fy = Mitve + Ac Pe By subtracting F from F, and solving for F,, there results F, = F + Apo = 4.448 x 10° + 0.4905 x 1.013 x 10° = 4.945 x 10°N The effective exhaust velocity at sea level results from the preceding equation Ae(Pe — 0.4905 x (0.7377 — 1.013) x 10° ca ye + Beem PO) a 736 4 OA908 OTST = L-ONS) 10"" 5655 mis m 167.5 The effective exhaust velocity in space (where po = 0) is A 0.4905 x 0.7377 x 10° cy ve + APE = 7736 + 24908 * 0-377 IO"" 5959 mis m 167.5 1.2. The Gas Flow Through the Combustion Chamber and the Nozzle. "
"What are the four fundamental equations utilized to determine the exhaust gas velocity at the nozzle's exit, emphasizing conservation principles and the state of gases?","Under the seven hypotheses indicated in Sect. 1.1, itis possible to compute the exhaust gas velocity, v., at the exit plane of the nozzle as a function of the physical properties of the gas. Three of the four fundamental equations used for this purpose express the conservation of energy, mass, and momentum, and the fourth is the equation of state of perfect gases. They are shown below."
"What principle does the energy equation, commonly referred to as the Bernoulli equation, illustrate in fluid dynamics?","The energy equation (also known as the Bernoulli equation) states the principle of conservation of energy. In the hypotheses of Sect. 1.1, let us consider an adiabatic flow between two cross-sections (1 and 2) of a nozzle perpendicular to its axis of symmetry, as shown in the following figure, due to the courtesy of NASA [5]. "
What is the expression representing the energy dynamics in a non-heat-exchanging flow between two specified sections?,The energy equation for an adiabatic flow between the two cross-sections shown above can be written as follows [6]
What does the term 'enthalpy' account for in a thermodynamic system according to the given information?,"hy —h (7, -1T) =! Evi ~hh=c ~ = 21 1 2 pi 2 7 J where J is the mechanical equivalent of heat (J = 1 because the SI is used in this book, that is, because heat is measured in joules), h = u + p/p is the enthalpy per unit mass of the fluid, u is the internal energy per unit mass of the fluid, c, is the specific heat of the fluid at constant pressure, and T is the temperature of the fluid. The enthalpy measures the total energy of a thermodynamic system, and includes the internal energy of the gas and the amount of energy required to make room for it by displacing its environment and establishing its density and its pressure.. "
What does the term c(T1 - T2) represent in terms of energy transformation in gaseous flows?,"The energy equation states that the energy per unit mass available for heat transfer, h, — ho, is converted into kinetic energy per unit mass, Vav3 - vt), of the flow. In other words, an amount of energy in form of heat possessed by the gas is used to increase the velocity of the flow. The term c,(T, — T2) indicates the decrease in temperature resulting from the energy conversion. The specific heat at constant pressure, c,, has been assumed constant, and depends on the composition of the gas resulting from the combustion. "
What conditions apply to velocity and temperature at the exit of a combustion chamber for isentropic flow?,"In particular, when the cross-section | is located at the exit of the combustion chamber (subscript c), as shown in the preceding figure, then there results v; ~ 0, T; = (T.)ns, V2 = v, and T, = T;. Therefore, for an isentropic flow (p/p’ = constant), the energy equation can be written as follows. "
What is the equation for sonic velocity at the inlet involving the specific heat ratio and gas constant?,"Tong = 71+ 2 2 ( ons = fi + “2 i 1 an 2\"" (Pe)ns = (1 + vu?) 1 a Yo ~ (Pe)ns = a(1 + vu?) where M; = vj/a; is the Mach number at the nozzle inlet, y = c,/c, is the specific heat ratio of the gas, R is the specific constant of the gas, and a; = (yRT;)? is the sonic velocity of the flow at the nozzle inlet."
What does the principle of mass conservation imply about the mass flow rate through different cross-sections of a nozzle?,"The second of the four fundamental equations mentioned above states the principle of mass conservation. Since the flow is constant, then the rate 7 at which a quantity of mass m passes through a cross-section A of the nozzle must be independent of the position of this cross-section along the axis of symmetry of the nozzle, that is,"
"What does the equation m = pAv imply about the relationship between gas density, cross-sectional area, and flow velocity along the nozzle?","m = pAv = constant where p, A, and v are respectively the local density of the gas, the local cross-sectional area of the nozzle, and the local velocity of the flow.  Since the mass flow rate through the nozzle must be constant in all sections of the nozzle, the continuity equation may also be written as follows pAv = pA; where the subscript ft indicates the throat of the nozzle, where the Mach number is equal to unity. "
How can the velocity at the exit plane of the nozzle be expressed in terms of energy differences at two specific cross-sections?,"By using the equations written above, it is possible to express the area ratio between any cross-sectional area A, (where M = M,) and the throat cross-sectional area A, (where M, = 1) of the nozzle as follows [2]: 2 yet A 1 2 -1 yt fs) =} (_=_\(14 42-2 A, M?\\y+1 2 Let 1 and 2 be two cross-sections of the nozzle at two arbitrary points along its axis of symmetry. With reference to these sections, the equation of energy can be written as follows hy —hb = Lio > 1 2= 5(2-"") The preceding equation, solved for v2, yields 1 v2 = [20 — hy) + vil? which can also be written as follows [6]: 1 2 7 ; Vv = —Y rn i-(2) +vi y-l Pi By choosing the cross-section 2 as the exit plane of the nozzle (subscript e) and the cross-section | as the exit plane of the combustion chamber (subscript c), the second addend (vj = v2) within curly brackets becomes negligible in comparison with the first. "
What is the relationship between the temperature of the combustion chamber and the stagnation temperature under isentropic conditions?,"Therefore, the velocity of the exhaust gas at the exit plane of the nozzle is expressible as follows 2 reiqy? y y-l Pe This is because the cross-section of the combustion chamber is larger than that of the throat. Therefore, the flow velocity, v., at the exit plane of the combustion chamber can be neglected in the expression given above. In addition, the temperature, T., of the combustion chamber and of the nozzle inlet differs very little, in isentropic conditions, from the stagnation temperature. "
What condition must be met to achieve the maximum theoretical exhaust gas velocity at the exit plane of a nozzle?," The maximum theoretical value of the exhaust gas velocity, v., at the exit plane of the nozzle is reached when the pressure value, p-, at the same plane is zero (infinite expansion). Setting p, = 0 in the preceding equation yields 1 2y 2 (Ve)max =| —— RT. y-1 The third of the fundamental equations mentioned above expresses the principle of conservation of momentum in a steady one-dimensional flow. "
"In a steady, one-dimensional flow of gas, which forces acting on the particle are considered, and which are neglected?","With reference to the following figure, let us consider an infinitesimal particle of gas moving along a streamline, s, in a steady, one-dimensional flow, that is, in a flow whose velocity, v, is independent of time (dv/dt = 0). ds ut We consider here, of all forces which may act on the gaseous particle, only those due to pressure imbalances. Therefore, gravitational, magnetic, and viscous forces are neglected. "
What is the relationship between the change in pressure and the velocity of a gas particle according to the dynamics of motion?,"By applying the second law of dynamics to the motion of the infinitesimal particle of gas along the streamline, the sum of the forces, )°F, in the stream direction, 5s, is equal to the mass, m, of the particle multiplied by the rate of change, dv/dt, of its velocity, that is, dv yor =m = pdA—(p+dp)dA Since the mass, m, of the infinitesimal particle is equal to its density, , times the infinitesimal distance, ds, times the infinitesimal area, dA, then there results m=pdsdA In addition, since the velocity vector of the particle is always tangent to the streamline, then the rate of change of velocity with time is expressible as follows dv dv\ (ds dv —=(—)(—) =v— dt ds} \ dt ds  By substituting the expressions of mass and acceleration in the equation written above, there results dv pdadA —(p+dp)dA = (pdsdA) va S that is, —dp = pvdyv which is the momentum equation. "
What is the relationship between particle velocity and pressure in a streamline flow according to the Euler equation?,"The minus sign in front of dp is due to the fact that the gas particle moves along the streamline, s, from a region of high pressure to a region of low pressure; therefore, when the velocity of the particle increases with s, then its pressure decreases. In other words, to each increase in the flow velocity of a particle there corresponds a decrease in its pressure. The preceding equation, also known as the Euler equation, is a particular case of the general Navier-Stokes equations [7]. "
