anchors,positives
What type of values and examples does the book provide related to engines and design parameters?,"This book gives several data on existing engines, typical values of design parameters, and worked examples of application of the concepts discussed with their numerical results. This enables the reader to apply the concepts introduced to cases of practical interest.Rome, Italy Alessandro de Iaco Veris October 2019 v Contents"
What is the primary physical principle that allows liquid-propellant rocket engines to produce thrust?,1 Fundamental Concepts on Liquid-Propellant Rocket Engines ..... 1 1.1 The Generation of Thrust ................ 00.0000 .0000. 1
What are the key performance indicators used to evaluate rocket engine efficiency and operation?,1.2. The Gas Flow Through the Combustion Chamber and the Nozzle... 0.0... eee 7 1.3. Performance Indicators .........0....0.000000000002.2. 27 1.4 Liquid Propellants for High-Thrust Rocket Engines .......... 39 1.5 Combustion of Propellants in Steady State................. 49 1.6 Combustion of Propellants in Unsteady State............... 53 1.7 Principal Components of a Liquid-Propellant Rocket Engine.... 
What are the primary components found in the chamber used for generating thrust in propulsion systems?,57 2 The Thrust Chamber Assembly ............................ 63 2.1. The Principal Components of a Thrust Chamber............. 63 2.2 The Design of a Thrust Chamber for Thrust Vector Control .... 67 2.3. Performance of a Thrust Chamber....................... 79 2.4 Configuration and Design of a Thrust Chamber ............. 83 2.5 Cooling of a Thrust Chamber .......................... 10 2.6 Imnjectors..........0.0. 
What are the fundamental concepts related to systems utilizing gases that are under pressure?,00000000 e eee. 152 2.7 _Gas-generator and Other Engine Cycles................... 166 2.8  Igniters 22.2.2... eee eee ee eee. 175 2.9 Combustion Instability ........00...0................. 185 3 Feed Systems Using Gases Under Pressure.................... 203 3.1 Fundamental Concepts ...............0.0.0.0.222022... 203 3.2 Requirements for Gases Stored Under Pressure ............. 204 3.3. Feed Systems Using Gases Stored for Bi-Propellants ......... 
What are the main considerations when selecting a feed system that utilizes gases stored under pressure?,210 3.4 Feed Systems Using Evaporation of Two Propellants ......... 230 3.5 Feed Systems Using Gases Stored for Mono-Propellants....... 235 3.6 Feed Systems Using Combustion Products................. 239 vii viii Contents 3.7. Control Systems for Liquid-Propellant Gas Generators ........ 244 3.8 Feed Systems Using Direct Injection into the Main Propellant 3.9 Choice of a Feed System Using Gases Under Pressure........ 248 References .. 0.2... cece ee eee. 249. 
What are the primary energy sources utilized for driving turbines in pump systems?,4 Feed Systems Using Turbo-Pumps .......................... 251 4.1 Fundamental Concepts .....................0......... 251 4.2. Pumps for Propellants................................ 252 4.3. Turbines Driving the Pumps ........................... 259 4.4 Sources of Energy for Turbines......................... 269 4.5 Description of a Typical Turbo-Pump .................... 271 4.6 Turbo-Pump Performance ............................. 
What are the key design considerations for centrifugal-flow and axial-flow pumps in industrial applications?,276 4.7 Turbo-Pump Design Parameters......................... 278 4.8 Heads and Mass Flow Rates of Pumps ................... 284 4.9 Design of Centrifugal-Flow Pumps ...................... 302 4.10 Design of Axial-Flow Pumps .......................... 348 4.11 Design of Turbines......... 00.0.0... 0.0.0 .02.0-0.... 379 4.12 Bearings for Turbo-Pumps ............................ 430 4.13 Seals for Turbo-Pumps ............................... 436 4.14 Gears for Turbo-Pumps.....................2.2.....-.. 440 References .. 0... 20. eee eee eee 444. 
What are the essential principles governing the regulation of thrust magnitude in propulsion systems?,5 Control Systems and Valves ..................0....2..2.... 447 5.1 Fundamental Concepts on Control Systems ................ 447 5.2. Control Systems for Rocket Engines ..................... 452 5.3. Control of Thrust Magnitude........................... 456 5.4 Control of Propellant Mixture Ratio...................... 458 5.5 Control of Propellant Consumption ...................... 459 5.6 Control of Thrust Direction............................ 
What are the key considerations when designing valves aimed at controlling propellant flow in engineering systems?,465 5.7 Principal Components of Flow Control Systems............. 469 5.8 Static and Dynamic Seals for Leakage Control in Valves ...... 478 5.9 Design of Propellant Valves ........................... 491 5.10 Design of Pilot Valves ...............0....2.......... 505 5.11 Design of Flow Regulating Devices of the Fixed-Area Type.... 515 5.12 Design of Servo-Valves ..............0....0.2.....2... 520 5.13 Design of Pressure-Reducing Regulators .................. 
What are the fundamental principles involved in the design of burst discs within fluid control systems?,532 5.14 Design of Differential Pressure Regulators ................. 538 5.15 Design of Relief Valves ..............2....2.......... 540 5.16 Design of Check Valves ............0.0020.0.20.0..... 548 5.17 Design of Burst Discs...........0...0..0200.0.2.2222... 553 5.18 Design of Explosive Valves ........................... 556 References .. 0.2.20. eee eee eee eee 560 Contents ix 6 Tanks for Propellants..............................2..... 
What are the categories of stresses that tanks can be subjected to according to their structural behavior?,"563 6.1 Fundamental Concepts ...............0.....0.20.0.2... 563 6.2 Tanks Subject Only to Membrane Stresses................. 564 6.3. Tanks Subject to Membrane and Bending Stresses ........... 571 6.4  Multi-element Tanks............0....0....2.0........ 584 6.5 Tanks Subject to Loads Due to Propellant Sloshing .......... 593 6.6 Slosh-Suppression Devices for Tanks..................... 606 6.7. Materials, Processes, and Environmental Conditions of Tanks 2.0... "
What are the essential concepts related to the integration of components and structures in rocket engine designs?,eee eee eee 614 6.8 Fracture Control of Metals Used for Tanks ................ 628 6.9 — Structural Elements of Tanks........................... 637 References .. 0.20... eee eee 654 7 Interconnecting Components and Structures .................. 657 7.1 Fundamental Concepts ....................0.2.....2... 657 7.2 Interconnecting Ducts and Structures in a Rocket Engine ...... 659 7.3 Materials Used for Tubing in Rocket Engines .............. 
What are the key considerations for managing pressure loss in tubular systems?,671 74 Coupling Components for Tubing ....................... 673 7.5 Control of Pressure Loss in Tubing ...................... 680 7.6 Control of Vibrations at the Inlet of Pumps ................ 683 7.7 Bellows Joints... 00... 00.0.0. eee eee eee. 687 7.8 Flexible Hoses .........0 00.00.0000 00 0000 0.02.-.2-.. 701 7.9 Filters... 0... ee eee eee eee eee. 710 7.10 Design of a Flange Joint.............................. 
What is the design consideration for creating a flexible joint in duct systems?,720 7.11 Gaskets and Other Seals for Flange Joints ................. 729 7.12 Design of a Bellows Joint for a Flexible Duct .............. 735 References .. 0.20... eee ee eee 746 Chapter 1 ® Fundamental Concepts ee on Liquid-Propellant Rocket Engines. 
What principle explains the motion of a rocket as it ejects propellant gas in one direction?,"A rocket is a vehicle which moves through space by ejecting a propellant gas at high velocity oppositely to the direction in which the vehicle is desired to move. High-thrust propulsion systems for rocket engines use chemical propellants, which are burned in the combustion chamber of a rocket to generate thrust. According to Newton’s third law of motion (to every action there is always opposed an equal reaction), the continuous ejection of a stream of hot gases in one direction causes a steady motion of the rocket in the opposite direction.. "
What substances can act as fuels for propellants that burn in the presence of oxygen?,"A couple of propellants comprises a fuel and an oxidiser. A fuel is a substance, such as liquid hydrogen (H2) or a mixture of hydrocarbons, which burns in the presence of oxygen to form the hot gases which are accelerated and then ejected at high speed through a nozzle. An oxidiser is either liquid oxygen (Oz) or a substance releasing oxygen, such as hydrogen peroxide (H2O>), nitrous oxide (N20), nitronium perchlorate (NO,CI1O,), or another substance, such as fluorine (F), having a strong tendency to accept electrons. The oxidiser combines with the fuel in a proper mixture ratio, as will be shown in Sect. 1.2.. "
What are the four classifications of high-thrust rocket propulsion systems based on the state of the propellants?,"Four categories of high-thrust rocket motors may be identified, according to the physical state of the propellants carried within such rockets. These categories are solid-propellant motors, liquid-propellant engines, gaseous-propellant engines and hybrid-propellant engines, the last of them being those which use propellants stored in at least two of the three (solid, liquid, and gaseous) physical states of matter. "
What type of rocket engine is designed to utilize two different propellants in a pump-fed configuration?,"The following figure, due to the courtesy of NASA-JPL [1], shows a scheme of a pump-fed liquid bi-propellant rocket engine. © The Editor(s) (if applicable) and The Author(s), under exclusive license 1 to Springer Nature Switzerland AG 2021 A. de Iaco Veris, Fundamental Concepts of Liquid-Propellant Rocket Engines,. "
"What equation relates thrust to mass flow rate, exit velocity, exit pressure, outside pressure, and nozzle exit area in liquid-propellant rocket engines?","Springer Aerospace Technology, https://doi.org/10.1007/978-3-030-54704-2_1 2 1 Fundamental Concepts on Liquid-Propellant Rocket EnginesPPTTTTTTTITTTIT TTT Tie —ey th = Mass flow rate Py Ve = Exit Veloci Pe = Exit peso Trost Po = Outside Pressure Ae = Nozzle Exit Area Thrust = F = mV,+(P.-P,)Ae"
What factors influence the magnitude of thrust produced by a rocket engine?,"A rocket carries a combination of propellants (a fuel and an oxidiser) within itself in order to be capable of operating inside or outside the atmosphere of the Earth. In the rocket engine illustrated above, the magnitude F of the thrust vector F depends on the propellant mass flow rate 7 = dm/dt through the engine, on the magnitude ve of the exit velocity vector v, of the exhaust gas, and on the pressure p, of the gas at the exit plane of the nozzle.. "
What phenomenon causes an increase in flow velocity within a converging-diverging nozzle as the fluid transitions from one section to another?,"The principle of functioning of a converging-diverging nozzle (also known as a de Laval nozzle, after the name of its inventor, Gustaf de Laval) is illustrated in the following figure, due to the courtesy of NASA-JPL [1].De Laval Nozzle Flow velocity increases from green to red."
What condition must be met in the nozzle's converging section to achieve sonic speed at the throat?,"As has been shown by Crown [2], a compressible fluid at virtually zero velocity in the combustion chamber is accelerated through the converging portion of the nozzle to sonic speed (M = 1) in the throat where, if the converging portion is properly designed, the flow is uniform and parallel. The fluid is then expanded in the diverging portion of the nozzle until the desired Mach number M > | is reached in the test section, where the flow is again uniform and parallel.. "
What happens to the shape of a nozzle just after a combustion chamber to facilitate a subsonic flow reaching sonic speed?,"In other words, the cross-section (perpendicular to the gas flow) of the nozzle immediately downstream of the combustion chamber decreases, in order for the subsonic flow (M < 1) to increase its speed up to the speed of sound (M = 1)."
What happens to the cross-sectional area of a nozzle in supersonic flow conditions?,"The sonic flow condition is reached in the throat, where the cross-sectional area A of the nozzle reaches its minimum value A,. In order for the flow to increase further its 1.1 The Generation of Thrust 3 speed in supersonic conditions (M > 1), the exhaust gases must expand downstream of the throat, and therefore the cross-sectional area A of the nozzle must increase (A > A,). This is because, in the converging portion of the nozzle, the maximum uniform velocity which can be reached by the flow in any section is the velocity corresponding to the local velocity of sound. "
What effect does increasing the nozzle's exit area have on the thrust generated by a rocket in space?,"Further increases in velocity can only be obtained by expanding the gas in the subsequent diverging portion of the nozzle. For optimum performance in terms of thrust, the gas pressure, p-, at the exit plane of the nozzle should be exactly equal to the pressure, po, due to the environment around it. In the vacuum of space (po = 0), this is impossible. The bigger the exit area, A., of the nozzle, the closer the rocket gets to the optimum thrust. "
What type of nozzle results in insufficient thrust due to higher exhaust gas pressure than the surrounding environment?,"However, at some point, the additional thrust gained is not worth the added mass which is necessary to make the exit area bigger. In conditions of optimum expansion ratio, the rocket motor produces the maximum thrust. A nozzle, which ends before the exhaust gas reaches the pressure of the outside environment, is called an under- expanded nozzle. In these conditions, the rocket does not get all the thrust available from its engine, because the expansion ratio is too low, and therefore the exhaust gas pressure is greater than the environmental pressure. "
"What term describes a nozzle where the exhaust gas pressure is lower than the surrounding pressure, causing complete expansion before the exit?","By contrast, a nozzle, whose cross-sectional area at the exit plane is too large, is called an over-expanded nozzle. This occurs when the expansion ratio A,/A, is too high, and the pressure of the exhaust gas is less than the environmental pressure. Since the cross-sectional area at the exit plane A, is too large, then the exhaust gas completely expands before reaching the exit plane of the nozzle. "
What occurs to gas flow when the external pressure is lower than the pressure at the nozzle exit?,"The gas flow downstream of the exit plane, as a function of the ambient pressure, is shown in the following figure, due to the courtesy of NASA [3]. —< | This is what happens when the ambient pressure is less than the nozzle flow exit pressure cc | This is what happens when the ambient pressure is exactly the same as the nozzle flow exit pressure. = This is what happens when the ambient pressure is a bit more than the nozzle flow exit pressure. "
What occurs to the flow inside a nozzle when external pressure significantly exceeds the exit pressure during sea level rocket tests?,"This is ~<a) ya what most rockets look like when tested at sea level The dashed lines are oblique shock waves. a This is what happens when the ambient pressure is a ne much more than the nozzle flow exit pressure. Note - —— the flow separated from the wall and the oblique shocks actually inside the nozzle. In the atmosphere, it is difficult to get the optimum expansion ratio, because the air pressure changes with temperature and altitude. "
How is the thrust generated by gaseous flow determined in liquid-propellant rocket engines?,"Since a given expansion ratio results in the optimum expansion only at a specific altitude, then the design expansion ratio 4 1 Fundamental Concepts on Liquid-Propellant Rocket Engines of the nozzle must be selected in such a way as to give the best average performance during powered flight. With reference to the following figure, due to the courtesy of NASA [4], the thrust imparted to the spacecraft by the gas flow can be expressed as follows F=mvy, where m is the mass flow rate of the exhaust gas, and v, is its velocity at the exit plane of the nozzle. "
What factors influence the thrust produced by an engine in relation to exhaust gas velocity and external pressure?,"Therefore, for a constant mass flow rate m or weight flow rate W = gom of exhaust gas, the thrust F is proportional to the velocity v,. of the gas at the exit plane. P, — a or 6 po a Z 2 GETET =e Pa =H : F—<— - A —> va Z 2 Cope Ss Py a a J Ae A spacecraft is subject not only to the thrust due to its engine, but also to the pressure, po, due to the environment around it. At high altitudes, po can be assumed to be equal to zero. "
"What must the net force acting on the gas in a thrust chamber correspond to, according to the second principle of dynamics?","In these conditions, the net force acting on the gas contained in the thrust chamber (comprising the combustion chamber and the nozzle) is the sum of the reactions coming from the walls and of the reaction of the absolute pressure of gas at the exit plane. These two reaction forces are opposed, as shown in the preceding figure. Therefore, according to the second principle of dynamics, the net force acting on the gas must be equal to the momentum flux out of the thrust chamber, which is 0 J peta — A, Pe = mve Ate where A,, and pj are respectively the area and the pressure of the thrust chamber, A,, Ve, and p, are respectively the area, the gas velocity, and the static absolute pressure of the gas at the exit plane of the nozzle, and mi is the steady mass flow rate of the gas. "
What does the integral represent regarding the forces acting on a specific component of a spacecraft?,"The integral, that is, the first term on the left-hand side of the preceding equation, 1.1 The Generation of Thrust 5 represent the integral of the pressure forces (resultant) acting on the thrust chamber (combustion chamber and nozzle) and projected onto a plane normal to the axis of symmetry of the thrust chamber, as shown in the preceding figure. This integral is just the force, F, which acts on the thrust chamber (and, therefore, on the spacecraft). Consequently, the preceding equation may also be written as follows. "
What conditions must be met for a specific equality to be valid regarding propellants and combustion products?,This equality holds under the following hypotheses:e the injection flow velocity of the propellants is negligible;¢ the flow is constant and does not change with time during the burn;¢ the products of combustion are in chemical equilibrium after the burn;
What is the orientation of gas molecules during their flow through the nozzle's exit plane?,"e the flow of gas through the exit plane of the nozzle is one-dimensional, that is, all the molecules of the ejected gas move on straight lines which are parallel to the axis of symmetry of the nozzle;"
What conditions characterize compressible flow in relation to gas density changes and the absence of friction or heat transfer?,"e the flow is compressible, that is, the gas density is subject to significant changes;e the flow is isentropic, that is, frictionless and adiabatic (without heat loss), and therefore depends only on the cross-sectional areas of the nozzle; and"
"What is the equation relating pressure, density, and temperature for a perfect gas?","e the gas flowing in the nozzle is a perfect gas, so that the well-known equation of state p = pRT involving pressure p, density p, and temperature T can be used, where R is the constant of the specific gas (the universal gas constant R* = 8314.460 N m kmol™! K™! divided by the average molar mass M (kg/kmol) of the exhaust gas; for example, if the exhaust gas were water, H2O, then R = 8314.460/18 = 461.9 N mkg™! K~!).. "
What is the term for the portion of thrust resulting from pressure contributing to the kinetic energy of exhaust gases in a nozzle?,"In the thrust equation written above, the quantity 7i is called the momentum thrust, and the quantity A,p, is called the pressure thrust. The latter term indicates that some (but not all) of the total forces due to the pressure p,- in the thrust chamber contribute to the kinetic energy possessed by the exhaust gases flowing in the nozzle. In other words, a part of the gas pressure generated by the release of chemical energy is used to increase the gas momentum, whereas another part is not. The greater the part of gas pressure used for this purpose, the greater the efficiency of the nozzle.. "
What is the effect of ambient pressure on the total pressure thrust experienced by a rocket when fired at low-altitudes?,"Let us assume now that the rocket is fired at an ambient pressure po greater than zero, that is, at low-altitudes. In these conditions, the pressure forces due to the environment and acting on the outside of the thrust chamber walls have no effect on the gas inside. However, such pressure forces subtract a part (A-po) from the total pressure thrust (A,p,). Since the exhaust gas flows at supersonic velocity through the exit plane of area A,, then the ambient pressure po cannot gain access to it. "
What effect does ambient pressure have on the force experienced by a thrust chamber area?,"Therefore, the ambient pressure generates a net unbalanced force onto the projected thrust chamber area, in the direction opposed to the thrust, of magnitude A.po. This fact is taken into account by re-writing the equation of thrust as follows. "
What condition must be met for the effective exhaust velocity to equal the exhaust gas velocity at the nozzle's exit plane?,"F = myve + Ac(Pe — Po) 6 1 Fundamental Concepts on Liquid-Propellant Rocket Engines which is just the equation given in [1]. The same equation may also be written as follows F = my. + A.(Pe — Po) = me where c=v+t Ae(Pe = Po) m is called the effective exhaust velocity, whose value is the same as that of the exhaust gas velocity v, at the exit plane of the nozzle only when the gas pressure p, at the same plane is equal to the ambient pressure po. "
What implication does the additional term on the right side of the previous equation have on achieving the ideal value of v?,"As has been shown above, the presence of the second addend on the right-hand side of the preceding equation indicates that the optimum value of v, has not been reached.. "
"Calculate the exhaust gas velocity at the nozzle exit given the thrust, mass flow rate, and exit area of a rocket engine.","As an application of these concepts to a practical case, taken from [4], itis required to compute the exhaust gas velocity v, at the exit plane of the nozzle, the thrust in space, and the effective exhaust velocities at sea level (c) and in space (cs), for a rocket engine having a thrust F = 4.448 x 10° N at sea level, a mass flow rate mh = 167.5 kg/s due to propellant consumption, an area A, = 0.4905 m? at the exit plane of the nozzle, and an absolute pressure p. = 7.377 x 104 N/m? at the same plane. The atmospheric pressure po at sea level has the standard value 101325 ~ 1.013 x 10° N/m?.. "
What is the purpose of solving the thrust equation for the variable v in the given context?,"In order to compute the value of v., we use the equation of thrust written above solved for v,, as followsF—A.(pe— po) 4.448 x 10° — 0.4905 x (0.7377 — 1.013) x 10°"
What happens when the exhaust gas pressure at the nozzle exit is less than atmospheric pressure at sea level?,"Since the pressure p, of the exhaust gas at the exit plane of the nozzle is smaller than the atmospheric pressure po at sea level, then the nozzle of the rocket engine considered in the present example is too long for sea level conditions."
At what height does the atmospheric pressure equal the exhaust gas pressure during the rocket's ascent?,"During the ascent of the rocket, the value of the atmospheric pressure decreases continuously. When the rocket reaches a certain altitude h* above the sea level, the atmospheric pressure at that altitude and the exhaust gas pressure p, at the exit plane of the nozzle have the same value (in the present case, this value is 7.377 x 10+ N/m?), and therefore the value of the component A,(p. — po) of the thrust becomes equal to zero. "
"What occurs to atmospheric pressure at an altitude greater than a specified height, leading to a specific change in a term related to the thrust equation?","This event represents an ideal expansion of the gas flow. At an altitude h greater than h*, the value of the atmospheric pressure pp becomes less than 7.377 x 104 N/m?, and is equal to zero in space. When this happens, the value of the term A, Po, Which appears on the right-hand side of the equation of thrust, is also equal to zero. The two equations which express the thrust F at sea level and the thrust F in space are respectively 1.1 The Generation of Thrust 7 F = ve + Ae(De — Po) Fy = Mitve + Ac Pe By subtracting F from F, and solving for F,, there results F, = F + Apo = 4.448 x 10° + 0.4905 x 1.013 x 10° = 4.945 x 10°N The effective exhaust velocity at sea level results from the preceding equation Ae(Pe — 0.4905 x (0.7377 — 1.013) x 10° ca ye + Beem PO) a 736 4 OA908 OTST = L-ONS) 10"" 5655 mis m 167.5 The effective exhaust velocity in space (where po = 0) is Ac Pe 0.4905 x 0.7377 x 10° Cy = ve + APE = 2736 4 A = 2952 mis m 167.5 1.2 The Gas Flow Through the Combustion Chamber and the Nozzle. "
What equations are utilized to determine the exhaust gas velocity from the exit plane of a nozzle concerning physical properties?,"Under the seven hypotheses indicated in Sect. 1.1, itis possible to compute the exhaust gas velocity, v., at the exit plane of the nozzle as a function of the physical properties of the gas. Three of the four fundamental equations used for this purpose express the conservation of energy, mass, and momentum, and the fourth is the equation of state of perfect gases. They are shown below."
What principle does the energy equation illustrate in the context of fluid dynamics in a nozzle?,"The energy equation (also known as the Bernoulli equation) states the principle of conservation of energy. In the hypotheses of Sect. 1.1, let us consider an adiabatic flow between two cross-sections (1 and 2) of a nozzle perpendicular to its axis of symmetry, as shown in the following figure, due to the courtesy of NASA [5]. 8 1 Fundamental Concepts on Liquid-Propellant Rocket Engines"
What equation describes the energy conservation principle for an adiabatic flow between two distinct areas?,The energy equation for an adiabatic flow between the two cross-sections shown above can be written as follows [6]
What does the variable h represent in a thermodynamic system regarding energy measurement of a fluid?,"hy —h (7, -1T) =! Evi ~hh=c ~ = 21 1 2 pi 2 7 J where J is the mechanical equivalent of heat (J = 1 because the SI is used in this book, that is, because heat is measured in joules), h = u + p/p is the enthalpy per unit mass of the fluid, u is the internal energy per unit mass of the fluid, c, is the specific heat of the fluid at constant pressure, and T is the temperature of the fluid. The enthalpy measures the total energy of a thermodynamic system, and includes the internal energy of the gas and the amount of energy required to make room for it by displacing its environment and establishing its density and its pressure.. "
What does the term c(T1 - T2) represent in relation to energy conversion in a gas flow?,"The energy equation states that the energy per unit mass available for heat transfer, h, — ho, is converted into kinetic energy per unit mass, Vav3 - vt), of the flow. In other words, an amount of energy in form of heat possessed by the gas is used to increase the velocity of the flow. The term c,(T, — T2) indicates the decrease in temperature resulting from the energy conversion. The specific heat at constant pressure, c,, has been assumed constant, and depends on the composition of the gas resulting from the combustion. "
What equation describes energy for isentropic flow when specific variables reach zero and temperature conditions are established at the exit of the combustion chamber?,"In particular, when the cross-section | is located at the exit of the combustion chamber (subscript c), as shown in the preceding figure, then there results v; ~ 0, T; = (T.)ns, V2 = v, and T, = T;. Therefore, for an isentropic flow (p/p’ = constant), the energy equation can be written as follows. "
"What is the equation for the sonic velocity of the flow at the entrance of the nozzle expressed in terms of specific heat ratio, gas constant, and temperature?","Tong = 71+ 2 2 ( ons = fi + “2 i 1 an 2\"" (Pe)ns = (1 + vu?) 1 a Yo ~ (Pe)ns = a(1 + vu?) where M; = vj/a; is the Mach number at the nozzle inlet, y = c,/c, is the specific heat ratio of the gas, R is the specific constant of the gas, and a; = (yRT;)? is the sonic velocity of the flow at the nozzle inlet."
What principle asserts that the rate of mass flowing through any cross-section of a nozzle remains unchanged along its axis of symmetry?,"The second of the four fundamental equations mentioned above states the principle of mass conservation. Since the flow is constant, then the rate 7 at which a quantity of mass m passes through a cross-section A of the nozzle must be independent of the position of this cross-section along the axis of symmetry of the nozzle, that is,"
"What does the term ""m"" represent in the equation relating density, area, and velocity in the context of gas flow?","m = pAv = constant where p, A, and v are respectively the local density of the gas, the local cross-sectional area of the nozzle, and the local velocity of the flow. 1.2. The Gas Flow Through the Combustion Chamber and the Nozzle 9 Since the mass flow rate through the nozzle must be constant in all sections of the nozzle, the continuity equation may also be written as follows pAv = pA; where the subscript ft indicates the throat of the nozzle, where the Mach number is equal to unity. "
What is the relationship between the velocity at the exit plane and the height differences in a nozzle system?,"By using the equations written above, it is possible to express the area ratio between any cross-sectional area A, (where M = M,) and the throat cross-sectional area A, (where M, = 1) of the nozzle as follows [2]: 2 yet A 1 2 -1 yt fs) =} (_=_\(14 42-2 A, M?\\y+1 2 Let 1 and 2 be two cross-sections of the nozzle at two arbitrary points along its axis of symmetry. With reference to these sections, the equation of energy can be written as follows hy —hb = Lio > 1 2= 5(2-"") The preceding equation, solved for v2, yields 1 v2 = [20 — hy) + vil? which can also be written as follows [6]: 1 2 7 ; Vv = —Y rn i-(2) +vi y-l Pi By choosing the cross-section 2 as the exit plane of the nozzle (subscript e) and the cross-section | as the exit plane of the combustion chamber (subscript c), the second addend (vj = v2) within curly brackets becomes negligible in comparison with the first. "
How does the flow velocity at the exit of a nozzle relate to the dimensions of the combustion chamber in an isentropic process?,"Therefore, the velocity of the exhaust gas at the exit plane of the nozzle is expressible as follows 2 reiqy? y y-l Pe This is because the cross-section of the combustion chamber is larger than that of the throat. Therefore, the flow velocity, v., at the exit plane of the combustion chamber can be neglected in the expression given above. In addition, the temperature, T., of the combustion chamber and of the nozzle inlet differs very little, in isentropic conditions, from the stagnation temperature. "
What occurs to the exhaust gas velocity when the pressure at the nozzle exit plane reaches its theoretical maximum value?,"10 1 Fundamental Concepts on Liquid-Propellant Rocket Engines The maximum theoretical value of the exhaust gas velocity, v., at the exit plane of the nozzle is reached when the pressure value, p-, at the same plane is zero (infinite expansion). Setting p, = 0 in the preceding equation yields 1 2y 2 (Ve)max =| —— RT. y-1 The third of the fundamental equations mentioned above expresses the principle of conservation of momentum in a steady one-dimensional flow. "
"In a steady, one-dimensional flow of gas, what forces are considered when analyzing the motion of an infinitesimal particle?","With reference to the following figure, let us consider an infinitesimal particle of gas moving along a streamline, s, in a steady, one-dimensional flow, that is, in a flow whose velocity, v, is independent of time (dv/dt = 0). ds ut We consider here, of all forces which may act on the gaseous particle, only those due to pressure imbalances. Therefore, gravitational, magnetic, and viscous forces are neglected. "
What is the relationship between the density and the infinitesimal mass of a gas particle moving along a streamline?,"By applying the second law of dynamics to the motion of the infinitesimal particle of gas along the streamline, the sum of the forces, )°F, in the stream direction, 5s, is equal to the mass, m, of the particle multiplied by the rate of change, dv/dt, of its velocity, that is, dv yor =m = pdA—(p+dp)dA Since the mass, m, of the infinitesimal particle is equal to its density, , times the infinitesimal distance, ds, times the infinitesimal area, dA, then there results m=pdsdA In addition, since the velocity vector of the particle is always tangent to the streamline, then the rate of change of velocity with time is expressible as follows dv dv\ (ds dv —=(—)(—) =v— dt ds} \ dt ds 1.2. "
